"ArtistID","Handle","Location","Country","Birthdate","RealName","Website","Info","Alive"
1,Øistein Eide,,no,,Øistein Johan Eide,,"These days, Øistein is making dance music under the pseudonym [b]Boom Jinx[/b].",1
2,"16 Beat",,DE,,Joachim Soppe,,,1
3,"2pac",,de,,Giovanni Bagaccin,,,1
4,"3wheel motion",,,,,,,1
6,"4-mat",London,gb,,Matthew Simmonds,,Also known as 4Mat,1
7,"505",Dresden,de,,Nils Feske,,"Hi, I create Atari musics and other things.",1
8,"911",,nl,,Martyn Deykers,,Interview: http://amp.dascene.net/detail.php?view=17&detail=interview,1
11,Abhoth,,,,,,,1
12,Acarid,,,,,,,1
14,Acidbeat,,es,,Javier Arredondo Valiente,,"[url]http://escena.org/users/view/27/[/url]
[url]https://twitter.com/acidbeat/status/304676420075003904/photo/1[/url]",1
15,Acidline,,de,,,,,1
17,Acrid,,,,,,,1
18,Acumen,,fi,,Milan Kolarovic,,,1
19,Adamj,,,,,,,1
20,Addic303,,,,,,,1
21,Adept,,,,,,,1
22,Aeroflot,,fi,,Teemu Kiiskilä,,,1
23,Age21,,,,,,,1
24,Agemixer,,fi,,Ari Yliaho,,,1
26,Airon,,de,,Anthony Oetzmann,,,1
27,Aisth,,fi,,Jugi Kaartinen & Alison Doolittle,,Aisth is an electronic music project by Finnish producer and composer Jugi Kaartinen and a Finnish-American vocalist and songwriter Alison Doolittle.,1
29,alc'o hole,,de,,Jens Gonska,,,1
31,Alexel,,fr,,Alexandre Liverneux,,,1
32,Alexg,,,,,,,1
33,Alf,,se,,Johan Koskela,,http://amp.dascene.net/detail.php?detail=modules&view=170,1
35,Alien,Tampere,fi,,Sami Arola,,"""One of co-founders of the independent game studio Ookoohko (Ookoo + hko = Okay + ish). Currently a programmer nowadays.""",1
36,Alkama,,fr,,Mathieu Moncharmont,,,1
38,Allister Brimble,,gb,,,,,1
39,Alpha [CR],,cr,,Marko Sekulic,,,1
40,Altemark,,se,,Mikael,,,1
41,Al Lowe,,us,,,,,1
42,Amgorb,,ru,,,,,1
43,Amigasynth,,fr,,,,,1
44,aMUSIC,Athens,gr,,Sotiris Varotsis,,,1
45,Anak,,,,,,,1
46,Anders Akerheden,,se,,Per Anders Henry Åkerheden Arrenius,,,1
47,Anders Hamre,,no,,,,,0
48,Andreas Karlsson,,,,,,,1
50,Andreas Viklund,,se,,Viktor Andreas Viklund,,,1
51,Andrew Barnabas,,gb,,,,"Also used to be member of (not in list): AM/FM, Dens Design, Ecstasy (XTC), The Pornos",1
52,Andromeda,,se,,Morgan Norrestam,,,1
54,Animal,,se,,Fredrik Liljegren,,,1
55,Aon4,,,,,,"Not one artist, but a group of artists: [url]http://old.exotica.org.uk/tunes/pages-full/AON-ArtOfNoise.html[/url]",1
56,Approx,,,,,,,1
57,April,,se,,Maria Dahl,,It is said that Loonie used this fake nickname to be able to enter Music Contest 5 with two songs.,1
58,Aquafresh,,gb,,Simon Bostock,,,1
59,Aragorn,,de,,David Lenaerts,,,1
60,ArchAngel,,se,,Nils Ingvarsson,,,1
61,Arclight,,us,,Paul Zyla,,,1
62,Arctic Breeze,,,,,,,1
63,Area 51,,se,,Dan Nyman,,,1
64,Arnola,,,,,,,1
65,Arpeggiator,,,,,,,1
66,Arrakis,,fr,,,,,1
68,Audiomonster,,fr,,Raphaël Gesqua,,,1
70,Aurasil,,,,,,,1
71,Autumns Child,,fi,,Petri Robert Postila,,,1
72,Avalanche,,,,,,,1
73,Avancada,,,,,,,1
74,Av,,,,,,,1
75,Awesome,,es,,Victor Vergara Luján,,,1
76,Axel,,ch,,Alexander Strohm,,,1
77,Mentric,,de,,Axel Melzener,,,1
78,Axeman,,,,,,,1
79,Aymes,,gb,,Andrew Yates,,,1
80,Azazel,,se,,Markus Alakangas,,,1
