"GroupID","Name"
1,Conspiracy [CNS]
2,Haujobb
3,Fairlight [FLT]
4,tAAt
5,Farbrausch
6,Portal Process
7,ASD
8,Exceed
9,Outracks
10,Synergy
11,RISK
12,F.A.N.
13,Avena
14,Anarchy
15,Five Musicians
16,Hellven
17,The Exceptions
18,Overlanders
19,Sanity
20,mfx
21,Pulse [PLS]
22,The SandS
23,Spaceballs
24,Crusaders
25,Brainstorm
26,Speckdrumm
27,Maniacs of Noise
28,Razor 1911
29,The Black Lotus
30,Cocoon
31,Vibrants
32,Kewlers
33,TBC
34,Electra
35,Gravity
36,Satanic Kids Enterprise
37,Shice
38,Future Crew
39,Byterapers
40,dA JoRMaS
41,ate bit
42,Paradox
43,ESI
44,Illusion
45,Digital Reality
46,ETC
47,Fatality
48,Fishbone
49,Titan
50,Mayhem
51,Blasphemy
52,"20th Century Composers"
53,Masters of Insanity
54,Raiden
55,Potion
56,Kefrens
57,JMP
58,Pleasure
59,Admirals
60,The Planet of Leather Moomins [TPOLM]
61,Fraxion
62,Delta Force
63,NeXT
64,Aurora
65,Unit A
66,Bastard Artists From Hell
67,TriStar & Red Sector Inc. [TRSI]
68,Synesthetics
69,Scarab
70,Fashion
71,Phantasy
72,Enigma
73,React
74,Exxos
75,Trepaan
76,Cream
77,Grin
78,DHFC
79,Deathstar
80,CNCD
81,Aura
82,Loonies
83,Scoopex
84,Trauma Child Genesis [TCG]
85,Silicon Brains
86,The Soundwavers
87,Analogue
88,Gate
89,Cyberiad
90,SCUP
91,Nectarine
92,Rebels [RBS]
93,Avalanche
94,Orange
95,GLenZ
96,Candela
97,The Silents
98,j'écoute
99,Arise
100,Dekadence
101,wAMMA
102,Komplex
103,Purple
104,Cryptoburners
105,Symbiosis
106,Stone Arts
107,Pure Metal Coders
108,Rubbers
109,Paragon
110,Technology
111,Ram Jam
112,Andromeda
113,Lemon.
114,Noiseless
115,Accept
116,Surprise!Productions [SIP]
117,Absence
118,AY Riders
119,Majic 12
120,Dual Crew & Shining
121,Essence
122,Quartz
123,Nah-Kolor
124,Stellar
125,Talent
126,Code Busters
127,Addict (Amiga)
128,Flash Production
129,Doomsday
130,Hansa
131,Adapt
132,l|l|l
133,xplsv
134,kvasigen
135,Static
136,Anadune
137,Outbreak
138,No Limits
139,Yaphan
140,Excess
141,Matt Current
142,Odd
143,Static Bytes
144,Passion
145,Nuance [NCE]
146,Chimera Music
147,Fulcrum
148,Still
149,Pers' Wastaiset Produktiot
150,Hedelmae
151,Elude
152,½-bit Cheese [HBC]
153,Northern Dragons
154,Avalon
155,Gods
156,Triton
157,Deadline
158,Alcatraz
159,Balance
160,Desire
161,Accession
162,Depth
163,Melon Dezign
164,Micromusic
165,Polka Brothers
167,Kosmic Free Music Foundation [KFMF]
168,Limited Edition [LED]
169,Facet's Pussy
170,Palace
171,Language Lab
172,Acme
173,Skid Row
174,Cytax
175,Kangooroo
176,Reality
177,Digital Murder
178,Digital
179,Oxsid Planetary
180,Aardbei
181,Plastic
182,Ozone (PC)
183,Starbyte
184,Ephidrena
185,Axis
186,Devils
187,Dual Crew
188,Nazareth
189,Even
190,Crystal
191,Rednex
192,Complex
193,Quartex
194,Banana Dezign
195,Darkage
196,Giants
197,Eltech
198,Moods Plateau
199,Illi Recentes ImperatoreS [IRIS]
200,Phenomena
201,Alliance Design
202,Dreamdealers
203,NoooN
204,Paradise
205,katastro.fi
206,Electromotive Force
207,Plant
208,Equinox
209,Chrome
210,"7dUMP"
211,X-Trade
