"Username","Deleted","UploadCount","VoteCount","OnelinerCount","MemberSince","LastLogin","HiddenProfile","ArtistID","Country","LastScraped","UltimateSongID"
,0,0,0,0,2015-07-31,2015-07-31,0,,,2018-04-21 10:24:57,
_,0,0,0,0,2013-05-08,2013-05-08,0,,,2018-04-21 10:24:55,
_Adoru_,0,0,1,0,2012-07-27,2012-07-27,0,,fr,2018-04-21 10:24:51,
_Aeko_,0,2,265,25,2009-01-12,2017-11-29,0,,catalonia,2018-04-21 10:24:39,
_erOS_,0,0,2,0,2009-10-01,2011-06-04,0,,pl,2018-04-21 10:24:49,
_wally,0,9,342,11,2008-12-04,2018-01-14,0,,es,2018-04-21 10:24:40,
"0A000h",0,0,221,132,2010-09-26,2017-03-31,0,,GL,2018-04-21 10:24:38,
"0A00h",1,0,0,0,2009-01-01,2013-01-01,0,,,2013-11-10 14:48:10,
"0D1N",0,0,0,0,2011-11-17,2011-11-17,0,,kz,2018-04-21 10:24:56,
"0x4e71",0,0,20,0,2009-05-18,2014-05-24,0,,NL,2018-04-21 10:24:45,
"0x7e7e",0,0,17,0,2010-07-25,2010-11-18,0,,nl,2018-04-21 10:24:44,
"2ker",0,0,14,1,2014-11-06,2017-10-10,0,,pl,2018-04-21 10:24:41,
"2t2mTheM",0,3,45,2,2016-12-17,2018-01-29,0,,de,2018-04-21 10:24:39,
"3flight",0,0,17,0,2011-04-20,2011-12-03,0,,ru,2018-04-21 10:24:43,
"450",0,0,0,0,2012-11-28,2013-01-06,0,,us,2018-04-21 10:24:54,
"503",0,0,0,0,2013-01-29,2013-01-29,0,,ru,2018-04-21 10:24:56,
"514d3",1,0,3,0,2013-10-08,2013-01-01,0,,,2013-11-10 14:48:05,
"5972",0,0,4,0,2010-05-19,2010-05-19,0,,de,2018-04-21 10:24:48,
"5k",0,0,2,0,2013-08-13,2013-08-13,0,,Germany,2018-04-21 10:24:48,
"5tarbuck",0,13,5,0,2009-07-19,2011-03-14,0,,DE,2018-04-21 10:24:47,
"64odore",0,5,93,0,2014-01-17,2017-05-07,0,,pl,2018-04-21 10:24:42,
"65c02",0,0,0,0,2011-04-06,2012-02-09,0,,fr,2018-04-21 10:24:56,
"7tux",0,0,2,0,2009-11-17,2012-11-18,0,,br,2018-04-21 10:24:49,
"870663",0,0,2,0,2009-12-22,2010-06-11,0,,de,2018-04-21 10:24:49,
"8823",0,0,25,0,2009-03-08,2011-03-03,0,,,2018-04-21 10:24:44,
"8bitbubsy",0,9,26,505,2009-12-07,2017-09-09,0,,no,2018-04-21 10:24:38,
"8bitvortex",0,0,28,0,2011-11-06,2012-10-20,0,,us,2018-04-21 10:24:43,23071
"9fingers",0,0,0,-1,2009-01-01,2013-01-01,0,,,2018-04-21 10:24:57,
A120068030,0,0,28,617,2017-01-30,2018-04-07,0,,gb,2018-04-21 10:24:37,
abaddon,0,76,158,0,2011-03-13,2015-10-19,0,,fi,2018-04-21 10:24:41,
abcdzyz,0,0,0,0,2011-02-08,2011-09-03,0,,cn,2018-04-21 10:24:54,
abel,0,0,0,0,2011-09-08,2011-09-12,0,,se,2018-04-21 10:24:53,
Abrahaz,0,63,172,14,2011-12-08,2018-01-04,0,,ru,2018-04-21 10:24:39,
abscess,0,1,5,0,2009-05-18,2009-08-11,0,,,2018-04-21 10:24:42,
AC,0,0,8,0,2009-12-08,2009-12-08,0,,DK,2018-04-21 10:24:46,
Accidental,0,12,15104,1282,2015-09-03,2018-04-20,0,,eu,2018-04-21 10:24:37,
accumbens,0,0,6,0,2010-09-18,2014-05-13,0,,FR,2018-04-21 10:24:47,
AceTonic,0,0,1,0,2011-07-07,2013-08-20,0,,ru,2018-04-21 10:24:49,
Achez,0,0,0,0,2009-10-30,2011-11-05,0,,ru,2018-04-21 10:24:55,
Achtwerk,0,0,28,2,2015-02-03,2016-03-14,0,,at,2018-04-21 10:24:40,
AcidBeast,0,0,0,-1,2009-01-01,2013-01-01,0,,au,2018-04-21 10:24:57,
