"SongID","Tag"
0,"2006"
0,Compowinner
0,video
3,"1992"
3,Amiga
3,Demo
3,DigitalSymposium
5,Beatbox
5,OldSchool
5,Vocals
5,voice
7,flying
11,"1992"
11,Amiga
11,Short
12,"1991"
12,AmiBerlin
12,Amiga
12,Demo
12,saxophone
12,video
14,video
16,letsgo
17,comeon
17,letsgo
20,OutOfTune
20,Vocals
21,long
22,Chiptune
23,Short
24,Amiga
24,diskmag
24,StolenData
27,StolenData
30,StolenData
31,"1990"
31,Amiga
31,diskmag
31,StolenData
32,StolenData
33,Amiga
33,OldSchool
35,"1994"
35,Amiga
35,Chiptune
35,classic
35,video
36,StolenData
37,StolenData
38,"1992"
38,Amiga
38,Intro
40,"1992"
40,Amiga
40,diskmag
41,Short
42,Chiptune
44,GameRemix
44,Platformer
45,Compowinner
45,long
45,Night
46,Chillout
46,OutOfTune
48,ORCHESTRAHIT
48,OutOfTune
54,"1991"
54,AwfulGuitarSample
54,Gamemusic
54,Guitar
54,Rock
54,video
55,video
57,Amiga
57,Dream
57,OldSchool
61,CommercialSamples
61,cover
61,DepecheMode
62,anal
62,fish
63,OutOfTune
64,"1992"
64,Amiga
64,Compowinner
64,Demo
64,DigitalSymposium
64,panflutes
65,AwfulGuitarSample
65,Short
67,cover
69,House
69,ORCHESTRAHIT
69,samples
70,StolenData
71,"1992"
71,Amiga
71,Demo
71,video
73,"1992"
73,AnarchyEasterParty
73,video
74,psygnosis
75,GameRemix
75,Short
76,"1991"
76,Chiptune
76,cracktro
76,video
78,"1990"
78,Amiga
78,Bell
78,Demo
78,Flute
78,Funky
78,video
80,"1991"
80,Amiga
80,Demo
80,video
83,"1992"
83,EasternConference
84,video
88,Chiptune
89,cracktro
89,Epic
89,Gamemusic
91,Short
93,Short
94,video
96,GameRemix
97,"1990"
97,Amiga
97,Intro
98,Racing
98,Rock
99,Short
101,bad_encoder
101,GameRemix
102,long
102,Nostalgia
102,OldSchool
103,GameRemix
106,stereoseparation
106,StolenData
109,Amiga
109,Chiptune
109,StolenData
109,video
110,"1999"
110,compo
110,ErrorInLine
114,anal
115,Short
117,Short
126,NotOnPouet
127,Short
128,Short
132,Female
134,Calm
137,Short
138,long
138,Psytrance
139,GameRemix
140,GameRemix
141,GameRemix
144,GameRemix
147,ambient
155,video
157,"1999"
157,Assembly
159,Remix
167,FinnishSpeak
169,"2001"
169,Assembly
170,Psytrance
172,"1999"
172,Assembly
172,Demo
172,Remix
172,video
173,animal
173,Birds
173,GameRemix
174,Psytrance
175,"1993"
175,Amiga
175,compo
175,TheParty
181,"1993"
181,Rave
181,Techno
181,TheComputerCrossroad
181,Untz
182,coop
182,ORCHESTRAHIT
186,"1994"
186,TheParty
186,video
187,"1993"
187,TheParty
187,video
191,long
191,Repetitive
192,Untz
194,Minimal
197,synthpop
199,GameRemix
199,long
201,animal
201,Gamemusic
202,Speak
203,Gamemusic
204,Guitar
204,Relaxing
205,Calm
205,misterious
205,moody
207,ambient
207,Mellow
210,Epic
211,GameRemix
211,Oriental
211,panflutes
213,Geography
213,Ninja
214,atmospheric
214,Chillout
214,lounge
214,water
221,"1993"
221,Gamemusic
221,Racing
222,"2007"
222,GameRemix
222,Rave
223,animal
223,Gamemusic
223,Merry
223,Platformer
224,"1993"
224,animal
224,Gamemusic
224,spooky
224,TruckDriversGearChange
225,Gamemusic
225,Merry
225,TruckDriversGearChange
226,"1993"
226,animal
226,Gamemusic
226,Oriental
226,Platformer
227,animal
227,TruckDriversGearChange
229,animal
230,animal
230,Gamemusic
231,Amiga
231,animal
231,Gamemusic
232,Remix
232,ThatSameOldEthnicFluteSample
241,"1987"
241,Bleepy
241,Chiptune
241,Gamemusic
241,Jazz
241,Short
249,stereoseparation
251,Demo
252,cover
255,Arcade
255,GameRemix
255,Short
257,Acoustic
257,Guitar
257,waltz
258,stereofx
258,Vocals
262,Vocals
263,Vocals
264,Duet
264,Vocals
266,Vocals
271,Jazz
272,FemaleMoans
280,Piano
285,Hardcore
288,Psytrance
289,Piano
293,Amiga
293,animal
293,Gamemusic
293,Industrial
293,video
295,"1999"
295,animal
295,coop
295,Demo
295,Remedy
295,Vocals
295,Windows
296,Chiptune
296,Short
297,long
297,monotone
297,Repetitive
301,GameRemix
303,GameRemix
305,Chiptune
308,GameRemix
310,GameRemix
310,SpaceShooter
312,Compowinner
312,Religion
314,Guitar
314,medieval
317,TruckDriversGearChange
318,Calm
318,Chillout
318,Enigma
323,Chillout
323,Relaxing
325,trance
325,TruckDriversGearChange
327,Lyrics
328,TruckDriversGearChange
330,long
333,axel_foley
333,cover
333,Movie
335,Geography
340,OutOfTune
341,"1992"
341,alcohol
341,Amiga
341,Demo
341,Funk
341,Hurricane&BrutalSummerParty
341,Organ
341,video
343,"1993"
343,TheGathering
344,Amiga
344,Epic
344,OutOfTune
345,Chillout
345,long
345,OutOfTune
345,Slow
345,video
346,video
348,Amiga
348,Demo
350,long
350,Orchestral
351,saxophone
352,"1992"
352,Amiga
352,Demo
352,epilogue
352,Hurricane&BrutalSummerParty
352,video
353,"1992"
353,TheParty
355,"1994"
355,Saturne
355,saxophone
356,"1992"
356,TheParty
357,FemaleMoans
357,long
358,long
358,Psytrance
362,long
362,Progressive
362,Psytrance
362,Techno
362,vocoder
364,bad_encoder
364,House
364,Minimal
365,long
368,Drum&Bass
368,Jungle
369,Repetitive
372,long
372,Psytrance
374,bad_encoder
374,Goa
374,long
374,Psytrance
375,ambient
375,long
378,GameRemix
379,Guitar
384,ambient
384,Ballad
384,Flute
387,Celtic
387,medieval
388,OddStuffFromOldNecta
389,OutOfTune
391,GameRemix
393,OutOfTune
396,OddStuffFromOldNecta
397,long
397,siren
397,Vocals
398,GameRemix
398,SpaceShooter
398,Untz
399,GameRemix
399,Geography
399,Racing
400,Flute
400,long
401,"1998"
401,Euskal
401,waltz
405,seagull
406,synthpop
407,TruckDriversGearChange
409,TruckDriversGearChange
414,Chillout
415,Piano
417,"1999"
417,Compowinner
417,Euskal
417,TruckDriversGearChange
420,synthpop
421,TruckDriversGearChange
422,TruckDriversGearChange
424,bad_encoder
424,Vocals
427,coop
428,synthpop
432,long
432,Piano
432,ProgressiveRock
438,OutOfTune
441,"2000"
441,Euskal
443,Ballad
443,Sad
445,Ballad
445,Orchestral
445,Slow
456,video
457,"1993"
458,alcohol
458,Reggae
458,zine
459,"1991"
459,diskmag
466,RAW
470,lounge
470,RAW
